North(m),East(m),Anomalia Magnética(nT)
-2548970.6999999997,-4664442.0,-176.84176852805572
-2548892.9999999995,-4664442.0,-193.2995511911546
-2548815.3,-4664442.0,-168.5172375756356
-2548737.5999999996,-4664442.0,-160.36685721942337
-2548659.9,-4664442.0,-159.63245365335953
-2548582.2,-4664442.0,-148.40035860516667
-2548504.5,-4664442.0,-94.27792253509979
-2548426.8,-4664442.0,-65.53051502566733
-2548349.0999999996,-4664442.0,-66.93724285193176
-2548271.4,-4664442.0,-91.28940725926897
-2548193.6999999997,-4664442.0,-90.31794045498762
-2548116.0,-4664442.0,-63.02544530018518
-2548038.3,-4664442.0,-42.61214628746271
-2547960.6,-4664442.0,-48.56287746905002
-2547882.9,-4664442.0,-80.39190847286302
-2547805.1999999997,-4664442.0,-87.73052803612144
-2547727.5,-4664442.0,-72.92883681803586
-2547649.8,-4664442.0,-104.04128063193966
-2547572.1,-4664442.0,-114.81746687757739
-2547494.4,-4664442.0,-95.55919183683405
-2547416.7,-4664442.0,-82.80294861029398
-2547339.0,-4664442.0,-79.62498783685392
-2547261.3,-4664442.0,-84.39528180804841
-2547183.5999999996,-4664442.0,-88.68669588081441
-2547105.9,-4664442.0,-92.08204538878044
-2547028.1999999997,-4664442.0,-89.38046296065735
-2546950.5,-4664442.0,-96.23057505083096
-2546872.8,-4664442.0,-101.95840355119086
-2546795.1,-4664442.0,-121.76640470174854
-2546717.4,-4664442.0,-136.8614597170838
-2546639.6999999997,-4664442.0,-149.21566494977435
-2546562.0,-4664442.0,-153.09581856828618
-2546484.3,-4664442.0,-153.87825412041715
-2546406.6,-4664442.0,-147.81715374822343
-2546328.9,-4664442.0,-132.22527073489698
-2546251.2,-4664442.0,-112.16756975896288
-2546173.4999999995,-4664442.0,-93.01935386261965
-2546095.8,-4664442.0,-75.95642054279121
-2546018.0999999996,-4664442.0,-61.138320332596976
-2545940.4,-4664442.0,-55.37251562989361
-2545862.6999999997,-4664442.0,-43.27774060746278
-2545785.0,-4664442.0,-24.79808947949549
-2549670.0,-4664331.0,-89.01225429379959
-2549592.3000000003,-4664331.0,-98.24054371223734
-2549514.5999999996,-4664331.0,-107.10328191220171
-2549436.9,-4664331.0,-117.49180395912394
-2549359.1999999997,-4664331.0,-131.04968561113668
-2549281.5,-4664331.0,-138.2518809904762
-2549203.8,-4664331.0,-145.75703042431562
-2549126.1,-4664331.0,-158.07146178712296
-2549048.4,-4664331.0,-181.2877937074407
-2548970.6999999997,-4664331.0,-165.02397817433462
-2548892.9999999995,-4664331.0,-154.67071557484945
-2548815.3,-4664331.0,-108.09077853815255
-2548737.5999999996,-4664331.0,-74.39371785703727
-2548659.9,-4664331.0,-80.55848992182045
-2548582.2,-4664331.0,-110.78689746452856
-2548504.5,-4664331.0,-119.48039440077923
-2548426.8,-4664331.0,-91.87619023262808
-2548349.0999999996,-4664331.0,-32.28668989544149
-2548271.4,-4664331.0,-17.811590324097327
-2548193.6999999997,-4664331.0,-30.691535790028777
-2548116.0,-4664331.0,-20.72784646749117
-2548038.3,-4664331.0,-2.313824144728936
-2547960.6,-4664331.0,-4.130191934835871
-2547882.9,-4664331.0,-35.135559710872684
-2547805.1999999997,-4664331.0,-56.2913473271054
-2547727.5,-4664331.0,-70.78362160652392
-2547649.8,-4664331.0,-71.93433454979697
-2547572.1,-4664331.0,-75.37496290628073
-2547494.4,-4664331.0,-69.25543853920881
-2547416.7,-4664331.0,-72.86663152839328
-2547339.0,-4664331.0,-70.76150422622501
-2547261.3,-4664331.0,-72.07166447724336
-2547183.5999999996,-4664331.0,-75.43996340523923
-2547105.9,-4664331.0,-79.09757039415815
-2547028.1999999997,-4664331.0,-79.31463305196115
-2546950.5,-4664331.0,-86.78354654263752
-2546872.8,-4664331.0,-96.79835806771608
-2546795.1,-4664331.0,-97.94034780413337
-2546717.4,-4664331.0,-93.5482461479925
-2546639.6999999997,-4664331.0,-135.10151269458424
-2546562.0,-4664331.0,-157.4012036407694
-2546484.3,-4664331.0,-166.26420592469728
-2546406.6,-4664331.0,-156.36091103416354
-2546328.9,-4664331.0,-146.83727073358293
-2546251.2,-4664331.0,-132.47468432175273
-2546173.4999999995,-4664331.0,-114.4674327212811
-2546095.8,-4664331.0,-99.55483611719959
-2546018.0999999996,-4664331.0,-87.14892198147062
-2545940.4,-4664331.0,-74.75077706740817
-2545862.6999999997,-4664331.0,-61.07994698926406
-2545785.0,-4664331.0,-54.53317648078962
-2549670.0,-4664220.0,-88.69065581037462
-2549592.3000000003,-4664220.0,-94.06769149124347
-2549514.5999999996,-4664220.0,-96.71185183281912
-2549436.9,-4664220.0,-107.61486847447858
-2549359.1999999997,-4664220.0,-130.24950332253104
-2549281.5,-4664220.0,-147.3185619846647
-2549203.8,-4664220.0,-152.91359967165846
-2549126.1,-4664220.0,-160.46103063825578
-2549048.4,-4664220.0,-202.70303994794466
-2548970.6999999997,-4664220.0,-179.18210879112152
-2548892.9999999995,-4664220.0,-128.20339884350722
-2548815.3,-4664220.0,-83.03092159811855
